model,accuracy,precision,recall,f1,roc_auc
SVC,0.7474747474747475,0.7518072885719945,0.7474747474747475,0.7477325052092838,0.7497949138638228
RFC,0.7878787878787878,0.7883003521301393,0.7878787878787878,0.7880091234929945,0.7875307629204266
NBC,0.7575757575757576,0.775582315694256,0.7575757575757576,0.7499611499611499,0.7463084495488105
MPC,0.6666666666666666,0.7039215686274509,0.6666666666666666,0.6587967277622451,0.6786300246103363
