e1,e2,e3,e4,e5
-0.23159999999999997,0.1146,-0.08,0.09299999999999997,-0.18960000000000002
0.005318181818181816,0.02700000000000001,0.04018181818181818,0.0124090909090909,-0.1928181818181818
0.09100000000000001,-0.25233333333333335,0.16266666666666665,-0.22633333333333336,-0.16066666666666665
0.11800000000000002,-0.12975,0.11825,-0.18675,-0.16949999999999998
0.10800000000000001,-0.0744,0.09159999999999999,-0.1758,-0.1904
0.043675675675675665,0.08618918918918919,0.0762162162162162,0.0391081081081081,-0.08402702702702705
-0.011567567567567561,0.08862162162162161,-0.02835135135135135,-0.07302702702702704,-0.003270270270270269
0.006025641025641022,0.10492307692307691,-0.03348717948717949,0.04028205128205128,-0.05394871794871795
0.014720000000000004,-0.05355999999999999,-0.03232000000000001,-0.11488000000000004,-0.06056
0.07881818181818184,0.0850909090909091,0.10936363636363634,0.006727272727272726,0.07372727272727274
0.056729166666666664,0.06974999999999999,-0.14327083333333335,-0.08379166666666667,0.041208333333333326
-0.024238095238095232,-0.044190476190476176,-0.06509523809523811,-0.1954761904761905,-0.02533333333333334
-0.00436842105263158,-0.014894736842105252,-0.07042105263157897,-0.15805263157894736,0.017210526315789464
-0.048,-0.17149999999999999,-0.07900000000000001,-0.266,-0.079
-0.09016666666666667,0.038500000000000006,-0.16727777777777775,-0.168,0.04544444444444445
0.05109999999999999,0.08120000000000001,0.029249999999999998,0.04759999999999999,-0.02757500000000001
-0.016560000000000002,-0.050919999999999986,-0.03004,-0.14104,-0.03692
0.028355932203389826,0.05249152542372882,-0.01043220338983051,0.026483050847457616,-0.03136440677966102
-0.08115384615384616,0.03899999999999999,-0.13730769230769233,-0.147,0.057153846153846145
0.052064516129032255,0.13722580645161292,-0.0655,-0.008322580645161294,0.02485483870967742
-0.005210526315789469,-0.12842105263157894,-0.03831578947368421,-0.14826315789473682,0.038052631578947366
-0.05476470588235294,-0.044647058823529394,0.018235294117647054,-0.12811764705882353,-0.048000000000000015
0.046825,0.07772500000000002,0.034975,0.03702499999999999,-0.04162500000000001
-0.026600000000000002,-0.11446666666666666,-0.085,-0.23246666666666668,0.03039999999999999
-0.17725000000000002,-0.01525,-0.10091666666666667,-0.16291666666666668,-0.07858333333333334
0.050575,0.06675,0.019175,0.06384999999999999,-0.009600000000000006
0.002235294117647054,-0.017470588235294106,-0.048117647058823536,-0.14564705882352944,-0.03594117647058824
-0.11393333333333334,0.11206666666666668,-0.04880000000000002,-0.19786666666666666,-0.06066666666666666
-0.021210526315789468,-0.14526315789473684,0.007157894736842109,-0.14184210526315788,0.0441578947368421
0.01772413793103448,0.01927586206896552,-0.12210344827586209,-0.04668965517241381,-0.01203448275862069
0.029555555555555557,0.01855555555555556,-0.0026666666666666674,-0.1721111111111111,-0.16833333333333333
-0.0350392156862745,-0.030862745098039223,-0.06460784313725491,-0.08970588235294118,0.0388235294117647
