,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svc__C,param_svc__gamma,param_svc__kernel,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_train_accuracy,split1_train_accuracy,split2_train_accuracy,split3_train_accuracy,split4_train_accuracy,mean_train_accuracy,std_train_accuracy,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_train_precision,split1_train_precision,split2_train_precision,split3_train_precision,split4_train_precision,mean_train_precision,std_train_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_train_recall,split1_train_recall,split2_train_recall,split3_train_recall,split4_train_recall,mean_train_recall,std_train_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_train_f1,split1_train_f1,split2_train_f1,split3_train_f1,split4_train_f1,mean_train_f1,std_train_f1,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_train_roc_auc,split1_train_roc_auc,split2_train_roc_auc,split3_train_roc_auc,split4_train_roc_auc,mean_train_roc_auc,std_train_roc_auc
0,0.040976524353027344,0.0028235002460522732,0.034375238418579104,0.0010816699779663524,0.1,0.0001,linear,"{'svc__C': 0.1, 'svc__gamma': 0.0001, 'svc__kernel': 'linear'}",0.5,0.38513513513513514,0.5,0.41216216216216217,0.5608108108108109,0.4716216216216217,0.06415717551604984,64,0.5067567567567568,0.5168918918918919,0.5591216216216216,0.4375,0.6385135135135135,0.5317567567567567,0.06614550830411199,0.5,0.4065934065934066,0.5,0.4496124031007752,0.6086956521739131,0.49298029237361896,0.06757523945768355,64,0.5068119891008175,0.5143603133159269,0.5576923076923077,0.46551724137931033,0.7411764705882353,0.5571116644153196,0.09656859086365033,0.5540540540540541,0.5,0.47297297297297297,0.7837837837837838,0.37333333333333335,0.5368288288288288,0.13671003486808725,27,0.6262626262626263,0.6632996632996633,0.5858585858585859,0.8181818181818182,0.42567567567567566,0.6238556738556739,0.12652538280257833,0.5256410256410257,0.4484848484848485,0.4861111111111111,0.5714285714285714,0.4628099173553719,0.49889509480418576,0.04468380747452652,29,0.5602409638554217,0.5794117647058824,0.5714285714285714,0.5934065934065934,0.5407725321888412,0.569052085117062,0.01779596411608001,0.5085829072315559,0.47132943754565376,0.4764426588750913,0.5175310445580716,0.49789954337899545,0.49435711831787366,0.01790617011977047,36,0.5655081892370027,0.5841465502482451,0.5822404839353992,0.5841579638189807,0.5921178780131483,0.5816342130505552,0.008752195103001272
1,0.05023031234741211,0.0023611558009214335,0.07472686767578125,0.003577126324337265,0.1,0.0001,rbf,"{'svc__C': 0.1, 'svc__gamma': 0.0001, 'svc__kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.527027027027027,0.5054054054054055,0.010810810810810789,44,0.5016891891891891,0.5016891891891891,0.5016891891891891,0.5016891891891891,0.5929054054054054,0.5199324324324324,0.03648648648648649,0.5,0.5,0.5,0.5,0.5373134328358209,0.5074626865671641,0.014925373134328356,52,0.5016891891891891,0.5016891891891891,0.5016891891891891,0.5016891891891891,0.6061776061776062,0.5225868725868725,0.04179536679536682,1.0,1.0,1.0,1.0,0.48,0.8960000000000001,0.20800000000000002,7,1.0,1.0,1.0,1.0,0.5304054054054054,0.9060810810810811,0.18783783783783786,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5070422535211268,0.6347417840375587,0.06384976525821595,17,0.6681664791901012,0.6681664791901012,0.6681664791901012,0.6681664791901012,0.5657657657657658,0.6476863365052341,0.04096028536973417,0.5469320672023374,0.49141709276844414,0.47370343316289265,0.49835646457268085,0.5103196347031963,0.5041457384819104,0.024458352304090207,31,0.5661815899104035,0.5719910974148262,0.5730411459225019,0.5581464361125378,0.5845964207450693,0.5707913380210677,0.008697409834346227
2,0.03999218940734863,0.00163228822705215,0.03318090438842773,0.0015825481374324357,0.1,0.001,linear,"{'svc__C': 0.1, 'svc__gamma': 0.001, 'svc__kernel': 'linear'}",0.5,0.38513513513513514,0.5,0.41216216216216217,0.5608108108108109,0.4716216216216217,0.06415717551604984,64,0.5067567567567568,0.5168918918918919,0.5591216216216216,0.4375,0.6385135135135135,0.5317567567567567,0.06614550830411199,0.5,0.4065934065934066,0.5,0.4496124031007752,0.6086956521739131,0.49298029237361896,0.06757523945768355,64,0.5068119891008175,0.5143603133159269,0.5576923076923077,0.46551724137931033,0.7411764705882353,0.5571116644153196,0.09656859086365033,0.5540540540540541,0.5,0.47297297297297297,0.7837837837837838,0.37333333333333335,0.5368288288288288,0.13671003486808725,27,0.6262626262626263,0.6632996632996633,0.5858585858585859,0.8181818181818182,0.42567567567567566,0.6238556738556739,0.12652538280257833,0.5256410256410257,0.4484848484848485,0.4861111111111111,0.5714285714285714,0.4628099173553719,0.49889509480418576,0.04468380747452652,29,0.5602409638554217,0.5794117647058824,0.5714285714285714,0.5934065934065934,0.5407725321888412,0.569052085117062,0.01779596411608001,0.5085829072315559,0.47132943754565376,0.4764426588750913,0.5175310445580716,0.49789954337899545,0.49435711831787366,0.01790617011977047,36,0.5655081892370027,0.5841465502482451,0.5822404839353992,0.5841579638189807,0.5921178780131483,0.5816342130505552,0.008752195103001272
3,0.04611430168151855,0.0021304845627171803,0.07608375549316407,0.0015650669607571743,0.1,0.001,rbf,"{'svc__C': 0.1, 'svc__gamma': 0.001, 'svc__kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5405405405405406,0.508108108108108,0.016216216216216228,42,0.5016891891891891,0.5016891891891891,0.5016891891891891,0.5016891891891891,0.6216216216216216,0.5256756756756756,0.04797297297297298,0.5,0.5,0.5,0.5,0.559322033898305,0.5118644067796609,0.023728813559322014,43,0.5016891891891891,0.5016891891891891,0.5016891891891891,0.5016891891891891,0.6551724137931034,0.5323858341099721,0.06139328984156572,1.0,1.0,1.0,1.0,0.44,0.8880000000000001,0.224,11,1.0,1.0,1.0,1.0,0.5135135135135135,0.9027027027027026,0.1945945945945946,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4925373134328358,0.6318407960199004,0.06965174129353233,20,0.6681664791901012,0.6681664791901012,0.6681664791901012,0.6681664791901012,0.5757575757575758,0.6496846985035961,0.036963561373010156,0.5423666910153396,0.47479912344777214,0.4810080350620891,0.5670197224251279,0.5128767123287672,0.5156140568558192,0.03529638643161072,28,0.5798892883638647,0.5949552017348627,0.5803001769103464,0.6292529817953546,0.5888878743608473,0.5946571046330551,0.018190422575852537
4,0.04084634780883789,0.0021824274822650146,0.03547677993774414,0.0006669989680774885,0.1,0.01,linear,"{'svc__C': 0.1, 'svc__gamma': 0.01, 'svc__kernel': 'linear'}",0.5,0.38513513513513514,0.5,0.41216216216216217,0.5608108108108109,0.4716216216216217,0.06415717551604984,64,0.5067567567567568,0.5168918918918919,0.5591216216216216,0.4375,0.6385135135135135,0.5317567567567567,0.06614550830411199,0.5,0.4065934065934066,0.5,0.4496124031007752,0.6086956521739131,0.49298029237361896,0.06757523945768355,64,0.5068119891008175,0.5143603133159269,0.5576923076923077,0.46551724137931033,0.7411764705882353,0.5571116644153196,0.09656859086365033,0.5540540540540541,0.5,0.47297297297297297,0.7837837837837838,0.37333333333333335,0.5368288288288288,0.13671003486808725,27,0.6262626262626263,0.6632996632996633,0.5858585858585859,0.8181818181818182,0.42567567567567566,0.6238556738556739,0.12652538280257833,0.5256410256410257,0.4484848484848485,0.4861111111111111,0.5714285714285714,0.4628099173553719,0.49889509480418576,0.04468380747452652,29,0.5602409638554217,0.5794117647058824,0.5714285714285714,0.5934065934065934,0.5407725321888412,0.569052085117062,0.01779596411608001,0.5085829072315559,0.47132943754565376,0.4764426588750913,0.5175310445580716,0.49789954337899545,0.49435711831787366,0.01790617011977047,36,0.5655081892370027,0.5841465502482451,0.5822404839353992,0.5841579638189807,0.5921178780131483,0.5816342130505552,0.008752195103001272
5,0.05214710235595703,0.0017498026220058157,0.0772474765777588,0.005582230741249614,0.1,0.01,rbf,"{'svc__C': 0.1, 'svc__gamma': 0.01, 'svc__kernel': 'rbf'}",0.5,0.5,0.5,0.5,0.5945945945945946,0.518918918918919,0.037837837837837854,33,0.5016891891891891,0.5016891891891891,0.5016891891891891,0.5016891891891891,0.652027027027027,0.5317567567567567,0.06013513513513513,0.5,0.5,0.5,0.5,0.7419354838709677,0.5483870967741936,0.0967741935483871,26,0.5016891891891891,0.5016891891891891,0.5016891891891891,0.5016891891891891,0.835820895522388,0.5685155304558289,0.13365268253327955,1.0,1.0,1.0,1.0,0.30666666666666664,0.8613333333333333,0.2773333333333334,20,1.0,1.0,1.0,1.0,0.3783783783783784,0.8756756756756756,0.24864864864864866,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.4339622641509434,0.620125786163522,0.09308176100628929,24,0.6681664791901012,0.6681664791901012,0.6681664791901012,0.6681664791901012,0.5209302325581395,0.6387192298637089,0.05889449865278466,0.6670927684441198,0.6323959094229364,0.5714024835646457,0.7132943754565376,0.5453881278538812,0.6259147329484243,0.06136604540225151,25,0.6719283227757804,0.7005307310392057,0.6416823603264281,0.7764538035724478,0.624794558071585,0.6830779551570894,0.05340133407084236
6,0.03988518714904785,0.0011900361781963912,0.03407554626464844,0.0010177196850940308,0.1,0.1,linear,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'linear'}",0.5,0.38513513513513514,0.5,0.41216216216216217,0.5608108108108109,0.4716216216216217,0.06415717551604984,64,0.5067567567567568,0.5168918918918919,0.5591216216216216,0.4375,0.6385135135135135,0.5317567567567567,0.06614550830411199,0.5,0.4065934065934066,0.5,0.4496124031007752,0.6086956521739131,0.49298029237361896,0.06757523945768355,64,0.5068119891008175,0.5143603133159269,0.5576923076923077,0.46551724137931033,0.7411764705882353,0.5571116644153196,0.09656859086365033,0.5540540540540541,0.5,0.47297297297297297,0.7837837837837838,0.37333333333333335,0.5368288288288288,0.13671003486808725,27,0.6262626262626263,0.6632996632996633,0.5858585858585859,0.8181818181818182,0.42567567567567566,0.6238556738556739,0.12652538280257833,0.5256410256410257,0.4484848484848485,0.4861111111111111,0.5714285714285714,0.4628099173553719,0.49889509480418576,0.04468380747452652,29,0.5602409638554217,0.5794117647058824,0.5714285714285714,0.5934065934065934,0.5407725321888412,0.569052085117062,0.01779596411608001,0.5085829072315559,0.47132943754565376,0.4764426588750913,0.5175310445580716,0.49789954337899545,0.49435711831787366,0.01790617011977047,36,0.5655081892370027,0.5841465502482451,0.5822404839353992,0.5841579638189807,0.5921178780131483,0.5816342130505552,0.008752195103001272
7,0.050528955459594724,0.001855370737964605,0.07597413063049316,0.002626629101943619,0.1,0.1,rbf,"{'svc__C': 0.1, 'svc__gamma': 0.1, 'svc__kernel': 'rbf'}",0.6081081081081081,0.5878378378378378,0.6418918918918919,0.5540540540540541,0.581081081081081,0.5945945945945946,0.02929659917389027,20,0.5827702702702703,0.6047297297297297,0.6097972972972973,0.5878378378378378,0.6182432432432432,0.6006756756756756,0.013369161444195506,0.9,0.8095238095238095,0.92,0.7222222222222222,0.7241379310344828,0.815176792556103,0.08383729958696093,18,0.7906976744186046,0.8058252427184466,0.8113207547169812,0.8045977011494253,0.8365384615384616,0.8097959669083838,0.015000129268906013,0.24324324324324326,0.22972972972972974,0.3108108108108108,0.17567567567567569,0.28,0.2478918918918919,0.0459486167745189,66,0.22895622895622897,0.27946127946127947,0.2895622895622896,0.2356902356902357,0.2939189189189189,0.2655177905177905,0.02758845310446434,0.3829787234042553,0.35789473684210527,0.46464646464646464,0.2826086956521739,0.40384615384615385,0.37839495487823055,0.05950355249252733,66,0.35509138381201044,0.415,0.4267990074441687,0.3645833333333333,0.435,0.3992947449179025,0.03297521481972915,0.8781957633308985,0.8316289262235209,0.8369247626004382,0.8055149744338934,0.7828310502283105,0.8270190953634122,0.03210431334894737,22,0.8213890315585232,0.8381555669691263,0.8234663014324032,0.8715402613707698,0.83354638422206,0.8376195091105766,0.018062318939891332
8,0.044293451309204104,0.008704938517691718,0.035084867477416994,0.0030290401752138553,0.1,1.0,linear,"{'svc__C': 0.1, 'svc__gamma': 1, 'svc__kernel': 'linear'}",0.5,0.38513513513513514,0.5,0.41216216216216217,0.5608108108108109,0.4716216216216217,0.06415717551604984,64,0.5067567567567568,0.5168918918918919,0.5591216216216216,0.4375,0.6385135135135135,0.5317567567567567,0.06614550830411199,0.5,0.4065934065934066,0.5,0.4496124031007752,0.6086956521739131,0.49298029237361896,0.06757523945768355,64,0.5068119891008175,0.5143603133159269,0.5576923076923077,0.46551724137931033,0.7411764705882353,0.5571116644153196,0.09656859086365033,0.5540540540540541,0.5,0.47297297297297297,0.7837837837837838,0.37333333333333335,0.5368288288288288,0.13671003486808725,27,0.6262626262626263,0.6632996632996633,0.5858585858585859,0.8181818181818182,0.42567567567567566,0.6238556738556739,0.12652538280257833,0.5256410256410257,0.4484848484848485,0.4861111111111111,0.5714285714285714,0.4628099173553719,0.49889509480418576,0.04468380747452652,29,0.5602409638554217,0.5794117647058824,0.5714285714285714,0.5934065934065934,0.5407725321888412,0.569052085117062,0.01779596411608001,0.5085829072315559,0.47132943754565376,0.4764426588750913,0.5175310445580716,0.49789954337899545,0.49435711831787366,0.01790617011977047,36,0.5655081892370027,0.5841465502482451,0.5822404839353992,0.5841579638189807,0.5921178780131483,0.5816342130505552,0.008752195103001272
9,0.03508162498474121,0.0004557193366726195,0.05632944107055664,0.0030666300455291545,0.1,1.0,rbf,"{'svc__C': 0.1, 'svc__gamma': 1, 'svc__kernel': 'rbf'}",0.8783783783783784,0.8513513513513513,0.8513513513513513,0.7837837837837838,0.831081081081081,0.8391891891891892,0.031518658891055686,7,0.8412162162162162,0.847972972972973,0.8445945945945946,0.856418918918919,0.8513513513513513,0.8483108108108108,0.005277195726963959,0.85,0.8421052631578947,0.8714285714285714,0.7560975609756098,0.7906976744186046,0.822065813996136,0.0423186736060437,17,0.8222222222222222,0.8264984227129337,0.8233438485804416,0.8419354838709677,0.8333333333333334,0.8294666621439797,0.0073376271693211875,0.918918918918919,0.8648648648648649,0.8243243243243243,0.8378378378378378,0.9066666666666666,0.8705225225225224,0.0371030499014254,17,0.8720538720538721,0.8821548821548821,0.8787878787878788,0.8787878787878788,0.8783783783783784,0.8780325780325781,0.003286300436589787,0.8831168831168831,0.8533333333333334,0.8472222222222222,0.7948717948717948,0.84472049689441,0.8446529460877287,0.028423906606470706,10,0.8464052287581699,0.8534201954397395,0.8501628664495114,0.8599670510708401,0.8552631578947368,0.8530436999225997,0.0045906216264681,0.9247626004382762,0.8964572680788897,0.925127830533236,0.847881665449233,0.869771689497717,0.8928002107994704,0.03042377993197224,18,0.9085887119785425,0.9167494150544997,0.9128688010043943,0.9237116932032186,0.917583546384222,0.9159004335249754,0.005044234015344609
