MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea,antibios
15.104405271667162,15.104405271667162,0.04757193114905034,-2.125027764344731,0.02336859894218271,15.147619047619047,3005.7419999999934,2769.8699999999967,3003.7129605680016,1182,0,0.32569546985811837,-0.48122926245046393,0.48122926245046393,0.32569546985811837,0.2619047619047619,0.5333333333333333,0.9095238095238095,32.16759988266876,9.962225572919161,2.4558529087725223,-2.2978447447690105,2.255584827663609,-2.6199278174405487,7.983210071991456,-0.14260022500823558,1.673896160595974,1.8723861584989907,6724.758057852213,157.7616004101792,123.87698158290276,125.50997474475821,99.54579224917116,72.13772468068063,74.92541838091533,53.61416794874559,55.58536506805256,35.110818956734775,36.39872005845355,21.853909129000957,22.796718170583024,-17.57999999999999,1.4402566879631138e+73,186.52753737749418,102.34432462206625,70.90303674530533,1234.256395571241,215.2495990989342,138.96233907040306,0.0,159.49385269249066,0.0,17.90791586385555,139.04157833808293,4.794537184071822,23.52376989878223,0.0,157.29906943568443,303.8229989229505,42.78305499539817,38.70381363432461,164.26222510151757,211.8284633872094,0.0,143.22048222511182,87.11044357142802,467.1681730743946,96.07169160415508,71.92105017116157,0.0,0.0,189.8395109986242,0.0,0.0,23.52376989878223,443.8877281603627,156.67775876800678,35.507436276968356,320.4492529123856,60.794147187767564,0.0,10.902924932081056,0.0,1155.77,410.3407379835852,159.46768791744574,4.794537184071822,152.75660647304747,118.7139566083249,0.0,58.14245589723535,142.54305755169665,0.0,143.22048222511182,51.603007294459665,0.0,2.483767388734364,425.29395930673803,107.39650843950874,53.99489291389039,-33.927238293585965,-20.56970958173836,6.0944531324315445,21.566700027354592,0.0,0.6811594202898551,210,49,70,0,0,0,2,1,3,41,40,72,110,0,0,0,3,-6.573400000000042,786.6857000000045,3,1,1,0,0,1,1,0,3,3,30,27,0,0,0,0,27,9,0,0,0,1,0,0,0,0,0,27,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,7,0,True
15.484012933512572,15.484012933512572,0.005518404162081492,-2.28304957614409,0.011086204587623851,14.810551558752998,5925.926999999985,5485.431000000009,5922.2642858640065,2336,0,0.3224707024454786,-0.5079666451556014,0.5079666451556014,0.3224707024454786,0.1342925659472422,0.2829736211031175,0.49160671462829736,32.16639233901975,9.961126419305149,2.6210401511472163,-2.302566157837593,2.4070530251919346,-2.620048292677095,7.981310600184543,-0.14133989309794198,0.816591610948272,1.6970313243085133,15065.308265938584,314.4770770348761,240.07752272412992,240.89401930505767,196.4488990500996,138.5241073979425,139.91795424805983,104.22626781069582,105.2118663703493,65.60939477860596,66.25334532946532,41.954971938141306,42.42637645893234,-40.85000000000006,1.821621109759799e+158,368.25516524074527,199.43794171916412,151.5213085454892,2417.1027355794035,467.3310325462025,278.1352647217067,41.71688198120684,318.9877053849814,0.0,41.78513701566294,330.3317534689221,0.0,11.761884949391115,0.0,281.13374504874525,460.3449176849755,122.86315431650019,77.09108836768564,358.85162436131066,414.25160933124255,37.864985240540655,297.74016182435423,168.30298109669465,868.1167839466865,143.09012758431075,137.51478026755862,0.0,5.749511833283905,400.9461764132733,0.0,5.749511833283905,11.761884949391115,896.0554781862459,318.15005472008545,102.96195174831598,580.5965333346138,115.26097430077064,0.0,0.0,0.0,2613.250000000002,984.5078099185761,272.5499550480177,86.30166931329282,320.6861051595533,16.690354475090988,38.09654804015999,103.92083414521788,169.91812773225791,0.0,297.74016182435423,141.07099982946002,0.0,1.0751641047465221,877.408449240568,328.48524024470237,105.65044760007581,-88.81953514335754,-52.61621014367495,-27.76340137167113,26.91317880194407,0.0,0.6475095785440613,417,112,155,0,0,0,4,0,4,81,94,156,215,0,0,0,4,-25.16060999999989,1513.2487000000092,7,5,5,0,0,0,0,1,7,7,61,54,0,0,0,0,63,18,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,5,0,True
15.205900443986506,15.205900443986506,0.0077630993605413146,-1.9538991307249545,0.009767007073654658,15.232456140350877,3238.9319999999916,3000.0359999999955,3236.7467202840025,1264,0,0.32569546940458255,-0.5079666451556014,0.5079666451556014,0.32569546940458255,0.2850877192982456,0.5614035087719298,0.9254385964912281,32.16760245366189,9.956114564178726,2.476708262242753,-2.3030824770017744,2.2817306746366652,-2.6164705871937803,7.983238996070723,-0.14490869360643346,1.671884000850459,1.1602021293742515,7863.9450219659275,169.71098339955554,131.4541202588381,133.08711342069356,108.22540551527189,76.60022042801717,79.38791412825188,56.947448755145814,58.9186458744528,37.49451878628518,38.78241988800396,24.03975082022127,24.982559861803345,-21.599999999999962,6.538544196842844e+80,194.85008767069831,104.62035634031402,72.979970892059,1333.41381006513,236.0121623065315,162.25271539940275,17.878663706231507,159.49385269249066,0.0,11.938610575903699,150.4748919713857,4.794537184071822,23.52376989878223,0.0,171.7142355616888,306.53346418443687,64.70395536120635,32.15905722841204,169.68074270712714,212.83489687340804,16.227850817374566,153.76999064302774,75.27463147910524,439.09424348185405,96.07169160415506,161.27733296464044,0.0,17.248535499851716,200.47308820663685,0.0,17.248535499851716,23.52376989878223,471.9679134073751,171.145686452713,39.89947500202013,283.76137209701017,133.46007550615548,0.0,0.0,0.0,1262.2199999999998,391.11017091818167,150.50259397083985,19.178148736287287,234.12389549693685,79.30776522487963,6.923737199690624,128.91503324993457,114.71763224978264,0.0,148.87008091217726,67.83085811183423,0.0,2.48725670454423,419.1632144689252,157.31547869828853,53.63911415166261,-33.90320797443528,-5.657559736800707,2.4740365332885004,14.481667154526804,0.0,0.5866666666666667,228,55,76,0,1,1,5,0,5,43,46,78,109,0,1,1,6,-7.499090000000042,849.5601000000047,2,1,1,0,0,0,0,3,2,2,29,27,0,0,0,1,31,9,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,4,0,True
15.025361492385517,15.025361492385517,0.0023412991608491307,-2.1965117157650615,0.015272345133794335,15.253846153846155,3717.503999999985,3424.1759999999936,3715.1883205920053,1474,0,0.32631252511194075,-0.48122926245045566,0.48122926245045566,0.32631252511194075,0.16923076923076924,0.3423076923076923,0.5923076923076923,32.16638077643894,9.959063250641261,2.5074206076438132,-2.305910499288305,2.2770884693600073,-2.620729468950839,7.9811694144022525,-0.14735161014352716,0.8330893163510837,7.384755345573447,8296.544565029233,198.6264430391675,154.485369016499,155.3018655974267,121.65206674084321,87.68581858148627,89.07966543160363,67.06617665633279,68.05177521598631,42.03993376383167,42.68388431469106,25.705838978716194,26.17724349950723,-24.129999999999953,2.87042089352561e+92,235.87000000000006,124.77234877455611,93.20837371902448,1517.6089970772916,284.9072786980658,187.29706570358672,29.797772843719173,200.84411079795115,0.0,29.846526439759245,209.23883102368703,4.794537184071822,11.761884949391115,0.0,191.8529792842791,291.3761695106101,51.98624689834091,32.475912463589744,212.5195871530047,272.25029503082067,27.04641802895761,202.03796695224045,128.35154732555856,599.9725580511736,84.00094325529653,0.0,0.0,0.0,259.3746417238622,0.0,0.0,11.761884949391115,557.3190560145171,186.9869501788012,98.06129058289432,412.67549234758604,0.0,0.0,0.0,0.0,1603.4699999999987,583.841635971356,207.72504996893286,4.794537184071822,205.32853512716352,19.26246486877803,0.0,136.38915454382231,82.41687838010824,0.0,202.03796695224045,84.38309280057948,0.0,1.2372533151435998,548.1951074930192,183.4133259628461,56.336471086949686,-53.85631375441511,-49.361589114549155,-4.309767168286137,41.345512179291894,0.0,0.7283950617283951,260,68,97,0,0,0,0,0,0,49,58,98,132,0,0,0,0,-13.386150000000265,956.2151000000056,5,0,0,0,0,0,0,0,5,5,39,34,0,0,0,0,43,10,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,3,0,True
15.203787547710228,15.203787547710228,0.014514990687523488,-2.1720930276419503,0.008446138795102908,15.960698689956331,3277.002999999993,3036.0909999999953,3274.7293559680033,1274,0,0.3256966940305898,-0.5079666451556014,0.5079666451556014,0.3256966940305898,0.30131004366812225,0.5764192139737991,0.9170305676855895,32.16765648567681,9.95481488924068,2.5048351483723197,-2.339587703047688,2.307486686080945,-2.6253927499083036,7.983277352345274,-0.14845684013483268,1.6464566960520597,1.1902423406505709,7734.755669386712,170.58122688755867,131.62360782920157,134.151028182057,108.70776742506685,77.07869231463641,80.49884154690479,57.77694565287297,60.11329114385006,37.71212060511381,39.36517007850269,24.97533698222979,26.175255808896914,-20.479999999999976,1.0430064093847003e+83,196.96565842841807,105.59103608178906,72.57859121957344,1344.514012086562,236.63930238885303,156.79553256198287,11.91910913748767,171.30821215119366,0.0,11.938610575903699,154.65468273373781,4.794537184071822,36.152559046795226,0.0,171.3597810072244,288.66429129420294,57.61516572210112,50.980732079025785,174.16328968043013,231.31849091138017,10.818567211583044,148.03632316586555,86.74196643342961,456.6550411681471,101.82454521090185,137.51478026755862,0.0,5.749511833283905,201.30684595294855,0.0,5.749511833283905,36.152559046795226,495.514761456987,174.31393919793064,34.49019139622862,290.0337326976359,115.26097430077064,0.0,0.0,0.0,1283.4999999999995,422.1247061026701,135.8069922078555,38.356297472574575,265.87300521166185,42.49757574978159,6.923737199690624,83.5692661706341,119.06925905578629,13.847474399381248,150.8652928521776,73.88890946036709,0.0,6.8270963977655414,449.3127599220396,134.5764317175787,65.00221097211245,-37.35801189605081,-13.447519705029611,-1.6175624732355705,13.26015062037519,0.0,0.6174496644295302,229,55,77,0,2,2,4,0,4,45,45,80,111,0,2,2,6,-9.800860000000055,853.0820000000048,2,2,2,0,0,0,0,1,2,2,31,29,0,0,0,2,28,11,0,0,2,0,1,0,0,0,0,29,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,5,0,True
15.504081057713375,15.504081057713375,0.011149479234986659,-1.9894593929411604,0.00961747900048313,15.181818181818182,3264.0049999999933,3014.0209999999956,3261.868884016003,1284,0,0.3257277147199601,-0.5079666451556014,0.5079666451556014,0.3257277147199601,0.2510822510822511,0.4675324675324675,0.7186147186147186,32.16637855706604,9.950323010251578,2.4825120071103455,-2.3102139068740115,2.277916276685253,-2.6266696383275265,7.981142392843043,-0.14221767381241007,1.3846119605251541,1.257925994947065,7942.466272913194,171.9954404499318,134.6871315689823,135.50362814991,109.76694027758285,78.82485102895717,80.21869787907453,58.98807756793982,59.973676127593315,39.05617100928709,39.70012156014648,24.535134428972192,25.00653894976323,-21.369999999999965,1.631930676517534e+80,198.0733739339101,106.48197118764175,72.86955695883256,1349.5144417077468,235.76342101356911,162.54504439526679,11.91910913748767,153.58667296313916,0.0,11.938610575903699,140.27107118152233,14.76249422596624,11.761884949391115,0.0,207.54474624583534,287.2796559105741,76.8497729384594,43.2981008973998,164.88620552305534,189.20627762592162,10.818567211583044,163.48920639195973,93.02834961758941,485.67267635561643,71.03568156067205,167.88459648154912,0.0,11.49902366656781,195.15629960263055,0.0,11.49902366656781,11.761884949391115,456.14301424788295,172.77197089156718,52.24390953471279,323.7015470166984,134.24293452506424,0.0,0.0,0.0,1263.3899999999994,427.6962902240894,83.37907339383429,81.50713212922099,234.7841665625001,48.12649457354181,0.0,106.11236038891113,150.00428626441501,0.0,163.48920639195973,62.42157450604272,0.0,1.3221925679023467,425.6006382487161,150.07160330787437,54.68383636376369,-35.01806315099313,-13.655304387569833,3.9612581534313653,22.200505563541775,0.0,0.6103896103896104,231,55,76,0,0,0,4,2,6,43,46,77,114,0,0,0,6,-5.566159999999987,860.298100000005,2,2,2,0,0,4,2,2,2,2,28,26,0,0,0,2,31,9,0,0,0,2,0,0,0,0,0,26,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,True
15.76361858405466,15.76361858405466,0.0069212534537843595,-2.2592192654886887,0.009868498074321452,15.406976744186046,3641.489999999986,3360.2579999999944,3639.1003404880043,1434,0,0.3256954686176904,-0.5079666451556014,0.5079666451556014,0.3256954686176904,0.23255813953488372,0.46511627906976744,0.7790697674418605,32.16638048962418,9.931625750059448,2.510203415313253,-2.31980477527553,2.313480730399208,-2.6283946109455085,7.9811695020101014,-0.14250392827659517,1.6624695428167942,1.2138152689489032,9259.218358247223,193.69751085103306,152.68053866267584,153.49703524360356,121.66084779859486,87.85008526378367,89.24393211390102,67.88606179286968,68.87166035252316,44.12970147093752,44.773652021796906,27.543040428242477,28.01444494903351,-24.44999999999996,1.7853684977868654e+94,221.94926825071184,114.11207208728659,77.8738278677754,1508.6956958159788,251.2128391623355,180.67056688271066,23.83821827497534,177.21539188054516,0.0,11.938610575903699,170.2677871293927,4.794537184071822,11.761884949391115,0.0,321.67033709335965,250.45049051771673,75.38290224197448,38.64200440993839,184.06435425934262,235.65703061289634,21.63713442316609,180.43800245315606,117.06845094023339,535.51647225594,64.49092515475947,167.4741765362535,0.0,11.49902366656781,215.58969627234413,0.0,11.49902366656781,11.761884949391115,488.31967282146644,185.52929800492848,98.5699130232642,356.0162375545039,139.65691907776855,0.0,10.902924932081056,0.0,1357.9399999999994,505.1235512114769,116.94083368233709,67.12352057700551,183.84873075337697,57.98264725934406,0.0,106.31734800438281,224.45065519855373,13.847474399381248,180.43800245315606,61.77280676330139,0.0,1.2847724541993033,473.380562881777,181.52062857610366,42.259240455173895,-44.34367539311192,-13.22246231732747,-0.24518931245231324,41.19945598897111,0.0,0.6091954022988506,258,58,83,0,0,0,5,1,6,43,51,84,119,0,0,0,6,-3.8665200000000493,966.8442000000056,2,2,2,0,0,1,1,2,2,2,32,30,0,0,0,0,38,7,0,0,0,1,0,0,0,0,0,30,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,True
15.304896323946327,15.304896323946327,0.03827481605783567,-1.9037396465638634,0.017330026104709833,15.772222222222222,2526.071999999995,2331.5279999999975,2524.456986536,998,0,0.3281222487836729,-0.47965170495049897,0.47965170495049897,0.3281222487836729,0.26666666666666666,0.4888888888888889,0.7555555555555555,16.373405557559522,9.936862233396978,2.456648047909154,-2.3145078853936902,2.2365405831476295,-2.630847803081682,6.041781616278018,-0.14319284539862703,0.9795927310874587,1.3757030407252253,6093.78145274093,134.88741397887932,106.57631158604198,106.57631158604198,84.7996216022018,61.46378833772107,61.46378833772107,48.62012867645583,48.62012867645583,29.986667795653585,29.986667795653585,19.456037933910725,19.456037933910725,-16.839999999999993,4.482667532676609e+58,153.54527022468625,78.14180934415818,54.60026838097987,1049.396828639998,165.39817608719477,120.83681658295917,0.0,135.86513377508467,0.0,5.969305287951849,110.27435523365196,14.76249422596624,0.0,0.0,234.8852404901335,154.55195592509747,50.91861688078221,61.74079495423551,135.4950019970866,141.8344390630365,0.0,126.27168616391548,81.92949180126345,412.3985882628624,13.151638370425493,144.12204378446734,0.0,0.0,135.00410946593757,0.0,0.0,0.0,334.43469128421754,147.17300053235385,53.26115441545253,269.2861004254167,116.04383331967942,0.0,0.0,0.0,918.66,341.7948967841351,106.72777889265566,28.76722310443093,151.76403532352649,16.690354475090988,6.923737199690624,31.97206449244586,215.62277562135543,0.0,126.27168616391548,28.668337385810926,0.0,0.0,358.03153354744205,94.24293676869175,30.81507321677918,-29.02830355326468,-8.251625740178582,-1.2948845455247115,31.985270306055014,0.0,0.6097560975609756,180,36,57,0,0,0,3,2,5,31,31,57,83,0,0,0,5,-2.931899999999906,663.7456000000028,1,3,3,0,0,4,2,0,1,1,24,23,0,0,0,2,22,5,0,0,0,2,0,0,0,0,0,23,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,True
15.491940797009237,15.491940797009237,0.025317157824865877,-2.23422250801178,0.007284220803026214,15.609756097560975,4651.283999999986,4334.771999999994,4648.2856046280085,1808,0,0.32572771472000767,-0.5079666451556014,0.5079666451556014,0.32572771472000767,0.22560975609756098,0.43597560975609756,0.7408536585365854,32.166413710394764,9.954747566616183,2.567211240156022,-2.3194288082651373,2.356611086138051,-2.630462145652045,7.981252295799975,-0.14237948953389856,1.6650455642564768,0.8208022815488438,12467.480493612034,244.8634970643579,185.13905070657074,186.84997447849835,155.01804029313823,106.84559975668652,108.87190213883756,80.19650519913691,81.54725213046049,52.95265499303529,53.9617539155648,33.79375642910961,34.51263330016094,-33.809999999999945,1.021913325843109e+125,276.92746865789,143.13062356228602,99.02577534445228,1897.83524501257,352.6414144212608,222.67112369088233,17.878663706231507,271.7302675501692,0.0,17.90791586385555,246.36563565282225,9.77851570501903,24.39067409740411,0.0,250.0093157250665,272.1454745211402,102.46087381425686,121.27825377631495,285.99759596792654,331.9075212176605,16.227850817374566,237.75610926785475,110.22935204907597,578.4433786619138,116.0570736028943,215.3907114398715,0.0,17.248535499851716,286.79234249020556,0.0,17.248535499851716,24.39067409740411,718.0793329708288,279.8780733800015,57.653193140504314,348.8999024507865,176.3160744948411,0.0,0.0,0.0,1950.909999999998,727.6649471309646,242.84676131128006,43.150834656646396,219.7804513158609,35.28485132768979,18.747384130231726,176.4287320822973,112.81348987227486,12.240525803696954,235.26829035016044,85.03186054332079,0.0,5.736767603146291,706.7620068315554,226.3169926208165,70.60564098654412,-67.96110331020026,-23.241932853335513,-12.930187440770897,14.26737111779993,0.0,0.5603864734299517,328,79,119,0,2,2,6,1,7,65,68,121,150,0,2,2,9,-21.25879000000046,1179.6743000000065,3,4,4,0,0,2,1,3,3,3,49,46,0,0,0,3,45,12,0,0,2,1,1,0,0,0,0,46,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,2,0,True
15.743486673295475,15.743486673295475,0.006161881363935251,-2.1349562888151814,0.007284221061173202,16.428152492668623,4851.802999999987,4499.002999999997,4848.543399540007,1892,0,0.3262415590345898,-0.5079666451556014,0.5079666451556014,0.3262415590345898,0.22287390029325513,0.44574780058651026,0.7536656891495601,32.16767356281491,9.953266853362802,2.5898458226401453,-2.3215164346450514,2.3905670463795605,-2.6299248004756195,7.983473591929726,-0.14555340910309864,1.6707230453864628,0.7878370155455513,12648.649792916964,254.1226456094222,196.29053570779965,198.817956060655,161.52510021283854,114.6585948419923,118.0787440742607,86.6839977665128,89.02034325748993,57.59086473009316,59.243914203482035,37.26865450145111,38.46857332811821,-31.339999999999915,3.0301584300180622e+131,290.5298163344357,151.1431649457537,101.1617143533127,1990.8878800295395,353.0582932944165,258.62983966990606,5.959554568743835,271.7302675501692,0.0,5.969305287951849,225.95799407309553,9.77851570501903,36.15255904679522,0.0,231.81021451968184,426.7077497690816,108.75776065419629,68.97515164279629,276.4085215997829,319.8116864536602,5.409283605791522,226.70565318668628,121.69668700340034,706.1567986466605,114.97618358132733,209.32434437140992,0.0,22.99804733313562,282.30931163251097,0.0,22.99804733313562,36.15255904679522,734.3538035002093,270.2889990118579,46.83462592892127,440.30015190204426,170.2497074263795,0.0,0.0,0.0,1888.2599999999984,694.052057098882,175.72324073427453,100.6852808655083,314.83631498048805,55.339218995633615,54.156562940705044,155.96660768960763,142.41258104854518,0.0,224.63471314214786,85.68062828606212,0.0,6.743502002355955,694.0857834793441,213.05050744530308,82.493671434367,-58.69906229356071,-30.599301566465765,-7.216001868263506,24.029790255808926,0.0,0.6098654708520179,341,78,115,0,3,3,6,1,7,68,65,118,159,0,3,3,10,-15.21003000000037,1252.824600000007,1,5,5,0,0,2,1,4,1,1,47,46,0,0,0,4,40,14,0,0,3,1,1,0,0,0,0,46,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,6,0,True
