model,accuracy,precision,recall,f1,roc_auc
SVC,0.864406779661017,0.86546285555998,0.864406779661017,0.8644934096254553,0.8652073732718895
RFC,0.8531073446327684,0.855237353074875,0.8531073446327684,0.8531917656990713,0.8544546850998465
NBC,0.751412429378531,0.7928543369326729,0.751412429378531,0.7454721549636804,0.7599846390168971
MPC,0.7853107344632768,0.785703456968731,0.7853107344632768,0.7854068230092331,0.7853302611367128
