model,accuracy,precision,recall,f1,roc_auc
SVC,0.7474747474747475,0.747937641554663,0.7474747474747475,0.7476299089202314,0.7469237079573421
RFC,0.7373737373737373,0.7374243690033163,0.7373737373737373,0.7361799816345271,0.73318293683347
NBC,0.6767676767676768,0.6855401025177146,0.6767676767676768,0.6666148666148667,0.6650943396226416
MPC,0.7171717171717171,0.7167125803489441,0.7171717171717171,0.7166479610924056,0.7143150123051681
